concept;prefLabel;narrowMatch;broadMatch;closeMatch;altLabel
http://example.org/skos/libri_thesauri_2049;literary studies;http://example.org/concepts/libri_thesauri_4278,http://example.org/concepts/libri_thesauri_7291,http://example.org/concepts/libri_thesauri_585,http://example.org/concepts/libri_thesauri_879,http://example.org/concepts/libri_thesauri_11407,http://example.org/concepts/libri_thesauri_2028,http://example.org/concepts/libri_thesauri_2344,http://example.org/concepts/libri_thesauri_4265,http://example.org/concepts/libri_thesauri_2045,http://example.org/concepts/libri_thesauri_11082,http://example.org/concepts/libri_thesauri_10841,http://example.org/concepts/libri_thesauri_6631,http://example.org/concepts/libri_thesauri_6707,http://example.org/concepts/libri_thesauri_4530,http://example.org/concepts/libri_thesauri_4411;http://example.org/concepts/libri_thesauri_3863;http://www.wikidata.org/entity/Q208217,https:/bn-lit-skos.lab.dariah.pl/scheme/Literaturoznawstwo,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph137144;literární věda@cs,Literaturoznawstwo@pl
http://example.org/skos/libri_thesauri_147;Lubimyczytać.pl;;;http://www.wikidata.org/entity/Q28673161,https:/bn-lit-skos.lab.dariah.pl/scheme/Lubimyczytacpl;Lubimyczytacpl@pl
http://example.org/skos/libri_thesauri_146;Lubusz Literary Laurel;;;http://www.wikidata.org/entity/Q56338251,https:/bn-lit-skos.lab.dariah.pl/scheme/Lubuski_Wawrzyn_Literacki;Lubuski_Wawrzyn_Literacki@pl
http://example.org/skos/libri_thesauri_141;Zbigniew Herbert International Literary Award;;;http://www.wikidata.org/entity/Q20035301,https:/bn-lit-skos.lab.dariah.pl/scheme/Miedzynarodowa_Nagroda_Literacka_im_Zbigniewa_Herberta;Miedzynarodowa_Nagroda_Literacka_im_Zbigniewa_Herberta@pl
http://example.org/skos/libri_thesauri_139;African mythology;http://example.org/concepts/libri_thesauri_1185;http://example.org/concepts/libri_thesauri_13612;http://www.wikidata.org/entity/Q1032139,https:/bn-lit-skos.lab.dariah.pl/scheme/Mitologia_afrykanska;Mitologia_afrykanska@pl
http://example.org/skos/libri_thesauri_137;Assyrian mythology;;;http://www.wikidata.org/entity/Q466340,https:/bn-lit-skos.lab.dariah.pl/scheme/Mitologia_asyryjska;Mitologia_asyryjska@pl
http://example.org/skos/libri_thesauri_136;Aztec mythology;;;http://www.wikidata.org/entity/Q391184,https:/bn-lit-skos.lab.dariah.pl/scheme/Mitologia_aztecka;Mitologia_aztecka@pl
http://example.org/skos/libri_thesauri_135;Babylonian mythology;;;http://www.wikidata.org/entity/Q3859450,https:/bn-lit-skos.lab.dariah.pl/scheme/Mitologia_babilonska;Mitologia_babilonska@pl
http://example.org/skos/libri_thesauri_132;Hawaiian mythology;;;http://www.wikidata.org/entity/Q3088838,https:/bn-lit-skos.lab.dariah.pl/scheme/Mitologia_hawajska;Mitologia_hawajska@pl
http://example.org/skos/libri_thesauri_131;Hittite mythology;;;http://www.wikidata.org/entity/Q1142277,https:/bn-lit-skos.lab.dariah.pl/scheme/Mitologia_hetycka;Mitologia_hetycka@pl
http://example.org/skos/libri_thesauri_129;Inca mythology;;;http://www.wikidata.org/entity/Q629040,https:/bn-lit-skos.lab.dariah.pl/scheme/Mitologia_inkaska;Mitologia_inkaska@pl
http://example.org/skos/libri_thesauri_128;Inuit mythology;;http://example.org/concepts/libri_thesauri_13612;http://www.wikidata.org/entity/Q1473866,https:/bn-lit-skos.lab.dariah.pl/scheme/Mitologia_inuicka;Mitologia_inuicka@pl
http://example.org/skos/libri_thesauri_127;Irish mythology;;;http://www.wikidata.org/entity/Q1471505,https:/bn-lit-skos.lab.dariah.pl/scheme/Mitologia_irlandzka;Mitologia_irlandzka@pl
http://example.org/skos/libri_thesauri_125;Lithuanian mythology;;;http://www.wikidata.org/entity/Q1640577,https:/bn-lit-skos.lab.dariah.pl/scheme/Mitologia_litewska;Mitologia_litewska@pl
http://example.org/skos/libri_thesauri_124;Maya mythology;;;http://www.wikidata.org/entity/Q220734,https:/bn-lit-skos.lab.dariah.pl/scheme/Mitologia_Majow;Mitologia_Majow@pl
http://example.org/skos/libri_thesauri_122;Persian mythology;;;http://www.wikidata.org/entity/Q1130378,https:/bn-lit-skos.lab.dariah.pl/scheme/Mitologia_perska;Mitologia_perska@pl
