entity,source
Jędrzej Krystek,Biblioteka Narodowa - kartoteka autorytatywna
Anna Skolimowska,Biblioteka Narodowa - kartoteka autorytatywna
Dale B. Martin,Biblioteka Narodowa - kartoteka autorytatywna
Krzysztof Tkaczyk,Biblioteka Narodowa - kartoteka autorytatywna
Halina Stankowska,Biblioteka Narodowa - kartoteka autorytatywna
Tadeusz Witczak,Biblioteka Narodowa - kartoteka autorytatywna
Teresa Tyszkiewicz,Biblioteka Narodowa - kartoteka autorytatywna
Mariusz Tomiczek,Biblioteka Narodowa - kartoteka autorytatywna
Gjoko Zdraveski,Biblioteka Narodowa - kartoteka autorytatywna
Orislava Âroslavìvna Bris'ka,Biblioteka Narodowa - kartoteka autorytatywna
Amy Schmidt,Biblioteka Narodowa - kartoteka autorytatywna
Monika Estermann,Biblioteka Narodowa - kartoteka autorytatywna
Robert Petsch,Biblioteka Narodowa - kartoteka autorytatywna
Ewa Habich,Biblioteka Narodowa - kartoteka autorytatywna
Kamil Pawlak,Biblioteka Narodowa - kartoteka autorytatywna
Anastasia Telaak,Biblioteka Narodowa - kartoteka autorytatywna
Joanna Górnikiewicz,Biblioteka Narodowa - kartoteka autorytatywna
Anna Wołosiak-Tomaszewska,Biblioteka Narodowa - kartoteka autorytatywna
Francesco Mazzoni,Biblioteka Narodowa - kartoteka autorytatywna
Paul Fechter,Biblioteka Narodowa - kartoteka autorytatywna
Kazimierz Mamczar,Biblioteka Narodowa - kartoteka autorytatywna
Momme Mommsen,Biblioteka Narodowa - kartoteka autorytatywna
Moisej Semenovič Al'tman,Biblioteka Narodowa - kartoteka autorytatywna
Hyacinth Holland,Biblioteka Narodowa - kartoteka autorytatywna
Ǧamīla al- Waslātī,Biblioteka Narodowa - kartoteka autorytatywna
Ìryna Samatoj,Biblioteka Narodowa - kartoteka autorytatywna
Adam Gillon,Biblioteka Narodowa - kartoteka autorytatywna
Stanisław Furmanik,Biblioteka Narodowa - kartoteka autorytatywna
Karla Reimert,Biblioteka Narodowa - kartoteka autorytatywna
Tomasz Kłusek,Biblioteka Narodowa - kartoteka autorytatywna
Jerzy Starnawski,Biblioteka Narodowa - kartoteka autorytatywna
Przemysław Staniewski,Biblioteka Narodowa - kartoteka autorytatywna
Neil Bermel,Biblioteka Narodowa - kartoteka autorytatywna
Aleksandr Abramovič Isbah,Biblioteka Narodowa - kartoteka autorytatywna
Dorota Mrozek,Biblioteka Narodowa - kartoteka autorytatywna
Regina Kantarska-Koper,Biblioteka Narodowa - kartoteka autorytatywna
Jiří Muryc,Biblioteka Narodowa - kartoteka autorytatywna
Adam Kalbarczyk,Biblioteka Narodowa - kartoteka autorytatywna
Wiktor Jassem,Biblioteka Narodowa - kartoteka autorytatywna
Hermann Frohberger,Biblioteka Narodowa - kartoteka autorytatywna
Maria Grabowska,Biblioteka Narodowa - kartoteka autorytatywna
Ewa Maciejewska-Stępień,Biblioteka Narodowa - kartoteka autorytatywna
Evgenij Mihajlovič Eremin,Biblioteka Narodowa - kartoteka autorytatywna
Jordi M. Antolí Martínez,Biblioteka Narodowa - kartoteka autorytatywna
Nikos Chadzinikolau,Biblioteka Narodowa - kartoteka autorytatywna
Bahyt Babaševna Abilkasimova,Biblioteka Narodowa - kartoteka autorytatywna
Ganna Kučerevič,Biblioteka Narodowa - kartoteka autorytatywna
Elżbieta Gazdecka,Biblioteka Narodowa - kartoteka autorytatywna
Beata Symber,Biblioteka Narodowa - kartoteka autorytatywna
Friedrich Hermann Flayder,Biblioteka Narodowa - kartoteka autorytatywna
Davide Baldi,Biblioteka Narodowa - kartoteka autorytatywna
Wilhelm Johannes Schwarz,Biblioteka Narodowa - kartoteka autorytatywna
Sibelan E. S. Forrester‏,Biblioteka Narodowa - kartoteka autorytatywna
Dirk Van Hulle,Biblioteka Narodowa - kartoteka autorytatywna
Joshua L. Miller,Biblioteka Narodowa - kartoteka autorytatywna
Monika Taszłow,Biblioteka Narodowa - kartoteka autorytatywna
Giuseppe Rigutini,Biblioteka Narodowa - kartoteka autorytatywna
Zacharias Orth,Biblioteka Narodowa - kartoteka autorytatywna
Janina Preger,Biblioteka Narodowa - kartoteka autorytatywna
Homer B. Hulbert,Biblioteka Narodowa - kartoteka autorytatywna
Nikolaj Fedorovič Babuškin,Biblioteka Narodowa - kartoteka autorytatywna
Eduard Schwartz,Biblioteka Narodowa - kartoteka autorytatywna
Edward Janinski,Biblioteka Narodowa - kartoteka autorytatywna
Małgorzata Kasprzyk,Biblioteka Narodowa - kartoteka autorytatywna
Barbara Serwatka,Biblioteka Narodowa - kartoteka autorytatywna
Anna Maria Tomczak,Biblioteka Narodowa - kartoteka autorytatywna
Marian Bizan,Biblioteka Narodowa - kartoteka autorytatywna
Maria Porzezińska,Biblioteka Narodowa - kartoteka autorytatywna
Aleksej Fedorovič Merzlâkov,Biblioteka Narodowa - kartoteka autorytatywna
Edward Chudziński,Biblioteka Narodowa - kartoteka autorytatywna
Maciej Chrzanowski,Biblioteka Narodowa - kartoteka autorytatywna
Maria Rowińska-Szczepaniak,Biblioteka Narodowa - kartoteka autorytatywna
Anna Gorazd,Biblioteka Narodowa - kartoteka autorytatywna
Nicolas Furgault,Biblioteka Narodowa - kartoteka autorytatywna
A. Wojtkowski,Biblioteka Narodowa - kartoteka autorytatywna
Alice Yaeger Kaplan,Biblioteka Narodowa - kartoteka autorytatywna
Ludomir Stankiewicz,Biblioteka Narodowa - kartoteka autorytatywna
Agata Ostrowska,Biblioteka Narodowa - kartoteka autorytatywna
José Luis Rodríguez García,Biblioteka Narodowa - kartoteka autorytatywna
Anna Kodzis,Biblioteka Narodowa - kartoteka autorytatywna
C. R. Unger,Biblioteka Narodowa - kartoteka autorytatywna
Wiesław Krzysztoszek,Biblioteka Narodowa - kartoteka autorytatywna
Ewelina Sokołowska,Biblioteka Narodowa - kartoteka autorytatywna
Jerzy Rzymowski,Biblioteka Narodowa - kartoteka autorytatywna
Galina Ìvanìvna Homenko,Biblioteka Narodowa - kartoteka autorytatywna
Maud Bodkin,Biblioteka Narodowa - kartoteka autorytatywna
Elżbieta Dudka,Biblioteka Narodowa - kartoteka autorytatywna
Mateusz Szubert,Biblioteka Narodowa - kartoteka autorytatywna
Katarzyna Niemiec,Biblioteka Narodowa - kartoteka autorytatywna
Aleksandra Batura-Mańka,Biblioteka Narodowa - kartoteka autorytatywna
Paulina Kowalczyk,Biblioteka Narodowa - kartoteka autorytatywna
Stefan Warchoł,Biblioteka Narodowa - kartoteka autorytatywna
Janusz Strutyński,Biblioteka Narodowa - kartoteka autorytatywna
Elżbieta Janke,Biblioteka Narodowa - kartoteka autorytatywna
Marta Banasiak,Biblioteka Narodowa - kartoteka autorytatywna
Justyna Szlachta-Ignatowicz,Biblioteka Narodowa - kartoteka autorytatywna
Tatiana Şarşov,Biblioteka Narodowa - kartoteka autorytatywna
Evdokiya Soroçanu,Biblioteka Narodowa - kartoteka autorytatywna
Ghulom Karimov,Biblioteka Narodowa - kartoteka autorytatywna
Hamid Sulejman,Biblioteka Narodowa - kartoteka autorytatywna
Daria Banasiewicz,Biblioteka Narodowa - kartoteka autorytatywna
Theodore V. Buttrey,Biblioteka Narodowa - kartoteka autorytatywna
Vikentij Vasil'evič Makušev,Biblioteka Narodowa - kartoteka autorytatywna
Justus Zinzerling,Biblioteka Narodowa - kartoteka autorytatywna
Radosław Dylewski,Biblioteka Narodowa - kartoteka autorytatywna
Jiří Vacek,Biblioteka Narodowa - kartoteka autorytatywna
Alfred Dürr,Biblioteka Narodowa - kartoteka autorytatywna
Sylwia Adamczyk,Biblioteka Narodowa - kartoteka autorytatywna
Natalia Wajda,Biblioteka Narodowa - kartoteka autorytatywna
Justyna Tarczyńska,Biblioteka Narodowa - kartoteka autorytatywna
Bjarte Birkeland,Biblioteka Narodowa - kartoteka autorytatywna
Wilhelm Schuster,Biblioteka Narodowa - kartoteka autorytatywna
Stephen Dewsbury,Biblioteka Narodowa - kartoteka autorytatywna
Agnieszka Kopacz,Biblioteka Narodowa - kartoteka autorytatywna
August Ernst Zinserling,Biblioteka Narodowa - kartoteka autorytatywna
Anna Majer,Biblioteka Narodowa - kartoteka autorytatywna
Sarah Cummins,Biblioteka Narodowa - kartoteka autorytatywna
Jan Wincenty Sędzimir,Biblioteka Narodowa - kartoteka autorytatywna
Karl Eduard Schmidt,Biblioteka Narodowa - kartoteka autorytatywna
Roman Ìvanovič Ostaš,Biblioteka Narodowa - kartoteka autorytatywna
Israel Zwi Kanner,Biblioteka Narodowa - kartoteka autorytatywna
Kevin Andrews,Biblioteka Narodowa - kartoteka autorytatywna
Alìsa Valerìïvna Kuz'manenko,Biblioteka Narodowa - kartoteka autorytatywna
Janusz Rozłucki,Biblioteka Narodowa - kartoteka autorytatywna
Evgeniâ Nikolaevna Rogova,Biblioteka Narodowa - kartoteka autorytatywna
Agata Jawoszek,Biblioteka Narodowa - kartoteka autorytatywna
Krzysztof Wojciechowski,Biblioteka Narodowa - kartoteka autorytatywna
Dorota Majewska-Napierała,Biblioteka Narodowa - kartoteka autorytatywna
Aleksandra Achtelik,Biblioteka Narodowa - kartoteka autorytatywna
Cyriacus Lentulus,Biblioteka Narodowa - kartoteka autorytatywna
Kazimierz Kozak,Biblioteka Narodowa - kartoteka autorytatywna
Maria Kozak,Biblioteka Narodowa - kartoteka autorytatywna
Pedro Martínez Montávez,Biblioteka Narodowa - kartoteka autorytatywna
Piotr Śliwiński,Biblioteka Narodowa - kartoteka autorytatywna
Konrad Stanglewicz,Biblioteka Narodowa - kartoteka autorytatywna
Michal Habaj,Biblioteka Narodowa - kartoteka autorytatywna
Leo Martin Carruthers,Biblioteka Narodowa - kartoteka autorytatywna
Grigorij Andreevič Glinka,Biblioteka Narodowa - kartoteka autorytatywna
Zbigniew Pasek,Biblioteka Narodowa - kartoteka autorytatywna
