entity,source
Leia Organa,Biblioteka Narodowa - kartoteka autorytatywna
Leona Lindberg,Biblioteka Narodowa - kartoteka autorytatywna
John Difool,Biblioteka Narodowa - kartoteka autorytatywna
Lalka Momo,Biblioteka Narodowa - kartoteka autorytatywna
Etta Fitzroy,Biblioteka Narodowa - kartoteka autorytatywna
Fred Abel,Biblioteka Narodowa - kartoteka autorytatywna
Tosca,Biblioteka Narodowa - kartoteka autorytatywna
Violetta Kubasińska,Biblioteka Narodowa - kartoteka autorytatywna
Bane,Biblioteka Narodowa - kartoteka autorytatywna
Ania Shirley,Biblioteka Narodowa - kartoteka autorytatywna
Dicte Svendsen,Biblioteka Narodowa - kartoteka autorytatywna
Mary Poppins,Biblioteka Narodowa - kartoteka autorytatywna
Tomuś Orkiszek,Biblioteka Narodowa - kartoteka autorytatywna
Arthur Hastings,Biblioteka Narodowa - kartoteka autorytatywna
Harley Quinn,Biblioteka Narodowa - kartoteka autorytatywna
Jim Qwilleran,Biblioteka Narodowa - kartoteka autorytatywna
Roch Adamus,Biblioteka Narodowa - kartoteka autorytatywna
Matylda Nowicka,Biblioteka Narodowa - kartoteka autorytatywna
Bolek i Lolek,Biblioteka Narodowa - kartoteka autorytatywna | Bohaterowie naszych książek. Leksykon
Ojciec Brown,Biblioteka Narodowa - kartoteka autorytatywna | Słownik postaci literackich (Makowiecki)
Green Arrow,Biblioteka Narodowa - kartoteka autorytatywna
Tomasz Tomasik,Biblioteka Narodowa - kartoteka autorytatywna
Faust,100 bohaterów lektur | Biblioteka Narodowa - kartoteka autorytatywna | Szkolny słownik bohaterów literackich | 1600 postaci literackich
Andee Lawrence,Biblioteka Narodowa - kartoteka autorytatywna
Ryszard Maria Wirski,Biblioteka Narodowa - kartoteka autorytatywna
Mera,Biblioteka Narodowa - kartoteka autorytatywna | Słownik postaci literackich (Makowiecki)
Kurt Austin,Biblioteka Narodowa - kartoteka autorytatywna
Kontuś z Łowczyc,Biblioteka Narodowa - kartoteka autorytatywna
Robert Langdon,Biblioteka Narodowa - kartoteka autorytatywna
Tweety,Biblioteka Narodowa - kartoteka autorytatywna
Lara Croft,Biblioteka Narodowa - kartoteka autorytatywna
Charlotte Stafford,Biblioteka Narodowa - kartoteka autorytatywna
Stefania Rudecka,Biblioteka Narodowa - kartoteka autorytatywna
Jerry,Biblioteka Narodowa - kartoteka autorytatywna
Tom,Biblioteka Narodowa - kartoteka autorytatywna | Słownik postaci literackich (Makowiecki)
Nadinspektor Battle,Biblioteka Narodowa - kartoteka autorytatywna
Królowa Śniegu,Szkolny słownik bohaterów literackich | Biblioteka Narodowa - kartoteka autorytatywna | Słownik postaci literackich (Makowiecki)
Pavlimir Bello,Biblioteka Narodowa - kartoteka autorytatywna
Zygzak McQueen,Biblioteka Narodowa - kartoteka autorytatywna
Largo Winch,Biblioteka Narodowa - kartoteka autorytatywna
Ariadna Oliver,Biblioteka Narodowa - kartoteka autorytatywna
Figaro,1600 postaci literackich | Biblioteka Narodowa - kartoteka autorytatywna | Szkolny słownik bohaterów literackich | Słownik bohaterów literackich | Słownik postaci literackich (Makowiecki)
Profesorowa Szczupaczyńska,Biblioteka Narodowa - kartoteka autorytatywna
Wars,Biblioteka Narodowa - kartoteka autorytatywna
Marek Winicjusz,Biblioteka Narodowa - kartoteka autorytatywna | Słownik postaci literackich (Makowiecki)
Faris Iskander,Biblioteka Narodowa - kartoteka autorytatywna
Pszczółka Maja,Biblioteka Narodowa - kartoteka autorytatywna | Bohaterowie naszych książek. Leksykon
Max Mingus,Biblioteka Narodowa - kartoteka autorytatywna
Ulysses Moore,Biblioteka Narodowa - kartoteka autorytatywna
Asbjørn Krag,Biblioteka Narodowa - kartoteka autorytatywna
Sean Dillon,Biblioteka Narodowa - kartoteka autorytatywna
Fernando,Biblioteka Narodowa - kartoteka autorytatywna | 1600 postaci literackich | Bohaterowie naszych książek. Leksykon | Słownik postaci literackich (Makowiecki)
Ligia,Bohaterowie naszych książek. Leksykon | Biblioteka Narodowa - kartoteka autorytatywna | Szkolny słownik bohaterów literackich | Słownik bohaterów literackich
Eve Dallas,Biblioteka Narodowa - kartoteka autorytatywna
Jan Skarbek z Góry,Biblioteka Narodowa - kartoteka autorytatywna
Superboy,Biblioteka Narodowa - kartoteka autorytatywna
Czarny Młot,Biblioteka Narodowa - kartoteka autorytatywna
Onufry Zagłoba,Biblioteka Narodowa - kartoteka autorytatywna
Richard Krauz,Biblioteka Narodowa - kartoteka autorytatywna
Król Artur,Bohaterowie naszych książek. Leksykon | Biblioteka Narodowa - kartoteka autorytatywna | Słownik bohaterów literackich
Ramzes,Szkolny słownik bohaterów literackich | Biblioteka Narodowa - kartoteka autorytatywna
Elizabeth Costello,Biblioteka Narodowa - kartoteka autorytatywna
Kaz Brekker,Biblioteka Narodowa - kartoteka autorytatywna
Czarna Pantera,Biblioteka Narodowa - kartoteka autorytatywna
Antoni Fischer,Biblioteka Narodowa - kartoteka autorytatywna
Merry Gentry,Biblioteka Narodowa - kartoteka autorytatywna
Tiffany Obolała,Biblioteka Narodowa - kartoteka autorytatywna
Natty Bumppo,Biblioteka Narodowa - kartoteka autorytatywna
Nikki Boyd,Biblioteka Narodowa - kartoteka autorytatywna
Peter Guillam,Biblioteka Narodowa - kartoteka autorytatywna
Johan Berg,Biblioteka Narodowa - kartoteka autorytatywna
