entity,source
Frédéric Boyer,Biblioteka Narodowa - kartoteka autorytatywna
Walentyna Mikołajczyk-Trzcińska,Biblioteka Narodowa - kartoteka autorytatywna
Andrzej Goryński,Biblioteka Narodowa - kartoteka autorytatywna
Mikołaj Rej,Biblioteka Narodowa - kartoteka autorytatywna
Antoni Marianowicz,Biblioteka Narodowa - kartoteka autorytatywna
Artur Maria Swinarski,Biblioteka Narodowa - kartoteka autorytatywna
Marie-Helene Blanchaud,Biblioteka Narodowa - kartoteka autorytatywna
Barbara Majewska,Biblioteka Narodowa - kartoteka autorytatywna
Adam Gillon,Biblioteka Narodowa - kartoteka autorytatywna
Stanisław Furmanik,Biblioteka Narodowa - kartoteka autorytatywna
Zofia Starowieyska-Morstinowa,Biblioteka Narodowa - kartoteka autorytatywna
Alexander Gumz,Biblioteka Narodowa - kartoteka autorytatywna
Leon Schiller,Biblioteka Narodowa - kartoteka autorytatywna
Jan Kott,Biblioteka Narodowa - kartoteka autorytatywna
Tadeusz Kotarbiński,Biblioteka Narodowa - kartoteka autorytatywna
John Simon Gabriel Simmons,Biblioteka Narodowa - kartoteka autorytatywna
Małgorzata Łukasiewicz,Biblioteka Narodowa - kartoteka autorytatywna
Richard Pietrass,Biblioteka Narodowa - kartoteka autorytatywna
Êlizavêta Arkad'evna Mnacakanova,Biblioteka Narodowa - kartoteka autorytatywna
Marija Malbasa,Biblioteka Narodowa - kartoteka autorytatywna
Renato Aguiar,Biblioteka Narodowa - kartoteka autorytatywna
Vera Lysenko,Biblioteka Narodowa - kartoteka autorytatywna
Bolesław Londyński,Biblioteka Narodowa - kartoteka autorytatywna
Jan Nyberg,Biblioteka Narodowa - kartoteka autorytatywna
Grzegorz Jaszuński,Biblioteka Narodowa - kartoteka autorytatywna
Franz Wilhelm Jung,Biblioteka Narodowa - kartoteka autorytatywna
Kinga Zygma,Biblioteka Narodowa - kartoteka autorytatywna
Melchiorre Cesarotti,Biblioteka Narodowa - kartoteka autorytatywna
Marek Cegieła,Biblioteka Narodowa - kartoteka autorytatywna
Beata Jankowiak-Konik,Biblioteka Narodowa - kartoteka autorytatywna
Ignacy St.,Biblioteka Narodowa - kartoteka autorytatywna
Olesâ Aleksandrovna Nikolaeva,Biblioteka Narodowa - kartoteka autorytatywna
Nikos Chadzinikolau,Biblioteka Narodowa - kartoteka autorytatywna
Krystyna Woysław,Biblioteka Narodowa - kartoteka autorytatywna
Stanisław Prysew,Biblioteka Narodowa - kartoteka autorytatywna
Michèle Le Gwen,Biblioteka Narodowa - kartoteka autorytatywna
Germaine de Tonnac-Villeneuve,Biblioteka Narodowa - kartoteka autorytatywna
Przemysław Brom,Biblioteka Narodowa - kartoteka autorytatywna
Sigrid Elmblad,Biblioteka Narodowa - kartoteka autorytatywna
Elly Erdélyi,Biblioteka Narodowa - kartoteka autorytatywna
Stanisław Barnaba Schönfeld,Biblioteka Narodowa - kartoteka autorytatywna
Jan Josef Langner,Biblioteka Narodowa - kartoteka autorytatywna
Ugo Gallo,Biblioteka Narodowa - kartoteka autorytatywna
S. P. Rudens,Biblioteka Narodowa - kartoteka autorytatywna
Janina Preger,Biblioteka Narodowa - kartoteka autorytatywna
Igor Tyšš,Biblioteka Narodowa - kartoteka autorytatywna
Carlos Vitale,Biblioteka Narodowa - kartoteka autorytatywna
Małgorzata Kasprzyk,Biblioteka Narodowa - kartoteka autorytatywna
Adrianna Ewa Stawska-Ostaszewska,Biblioteka Narodowa - kartoteka autorytatywna
Iwona Frasek,Biblioteka Narodowa - kartoteka autorytatywna
Aleksej Fedorovič Merzlâkov,Biblioteka Narodowa - kartoteka autorytatywna
Robert Rogala,Biblioteka Narodowa - kartoteka autorytatywna
Greta Åkerhielm,Biblioteka Narodowa - kartoteka autorytatywna
Agata Ostrowska,Biblioteka Narodowa - kartoteka autorytatywna
Małgorzata Smorąg-Goldberg,Biblioteka Narodowa - kartoteka autorytatywna
Sârgej Darožny,Biblioteka Narodowa - kartoteka autorytatywna
Justyna Kotlicka,Biblioteka Narodowa - kartoteka autorytatywna
Ales' Gurlo,Biblioteka Narodowa - kartoteka autorytatywna
Maria Dias,Biblioteka Narodowa - kartoteka autorytatywna
Marek Kruszewski,Biblioteka Narodowa - kartoteka autorytatywna
Tatiana Rozumowska-Gapeeva,Biblioteka Narodowa - kartoteka autorytatywna
Nicolae Mareş,Biblioteka Narodowa - kartoteka autorytatywna
Jakub Milčák,Biblioteka Narodowa - kartoteka autorytatywna
Joanna Janiszewska-Rain,Biblioteka Narodowa - kartoteka autorytatywna
Clara Ho-yan Chan,Biblioteka Narodowa - kartoteka autorytatywna
Charles-Étienne Jordan,Biblioteka Narodowa - kartoteka autorytatywna
Wincenty Rapacki,Biblioteka Narodowa - kartoteka autorytatywna
Lola Humm-Sernau,Biblioteka Narodowa - kartoteka autorytatywna
Tomasz Kupczyk,Biblioteka Narodowa - kartoteka autorytatywna
Michał Tyszkowski,Biblioteka Narodowa - kartoteka autorytatywna
Volodimir Kornijovič Gucalenko,Biblioteka Narodowa - kartoteka autorytatywna
Irmtraut Fröse-Schreer,Biblioteka Narodowa - kartoteka autorytatywna
Anna Sawicka-Kucybała,Biblioteka Narodowa - kartoteka autorytatywna
Thomas Kinsella,Biblioteka Narodowa - kartoteka autorytatywna
Ìvan Veličkovskij,Biblioteka Narodowa - kartoteka autorytatywna
T. Bailey Saunders,Biblioteka Narodowa - kartoteka autorytatywna
Slava Petrova Ŝiplieva,Biblioteka Narodowa - kartoteka autorytatywna
Piotr Turbak,Biblioteka Narodowa - kartoteka autorytatywna
Keith Waldrop,Biblioteka Narodowa - kartoteka autorytatywna
Marian Promiński,Biblioteka Narodowa - kartoteka autorytatywna
Carmen Barreiro,Biblioteka Narodowa - kartoteka autorytatywna
Sarah Cummins,Biblioteka Narodowa - kartoteka autorytatywna
Aleksandr Nikolaevič Tišinin,Biblioteka Narodowa - kartoteka autorytatywna
Anna Pisulewska-Żelazny,Biblioteka Narodowa - kartoteka autorytatywna
Âroslav Âsenìvs'kij,Biblioteka Narodowa - kartoteka autorytatywna
Jacek Aleksander Prokopski,Biblioteka Narodowa - kartoteka autorytatywna
Jarosław Bielewski,Biblioteka Narodowa - kartoteka autorytatywna
Dorota Majewska-Napierała,Biblioteka Narodowa - kartoteka autorytatywna
Feliks Netz,Biblioteka Narodowa - kartoteka autorytatywna
Kunegunda Komorowska,Biblioteka Narodowa - kartoteka autorytatywna
Łukasz Solecki,Biblioteka Narodowa - kartoteka autorytatywna
Andrzej Porębski,Biblioteka Narodowa - kartoteka autorytatywna
Izabela Kleszczowa,Biblioteka Narodowa - kartoteka autorytatywna
Grigorij Andreevič Glinka,Biblioteka Narodowa - kartoteka autorytatywna
Maria Szubert-Kornaszewska,Biblioteka Narodowa - kartoteka autorytatywna
Paul Vulliaud,Biblioteka Narodowa - kartoteka autorytatywna
Ruben Alvarado,Biblioteka Narodowa - kartoteka autorytatywna
Ronald Jenn,Biblioteka Narodowa - kartoteka autorytatywna
Christopher Adam Zakrzewski,Biblioteka Narodowa - kartoteka autorytatywna
Anna Tatarkiewicz,Biblioteka Narodowa - kartoteka autorytatywna
Włodzimierz Zuzga,Biblioteka Narodowa - kartoteka autorytatywna
Christa Trautner-Suder,Biblioteka Narodowa - kartoteka autorytatywna
Jan Okopień,Biblioteka Narodowa - kartoteka autorytatywna
Werner Kortwich,Biblioteka Narodowa - kartoteka autorytatywna
Monika Cieślewicz,Biblioteka Narodowa - kartoteka autorytatywna
Renata Grabarska,Biblioteka Narodowa - kartoteka autorytatywna
Maurice Lefèvre,Biblioteka Narodowa - kartoteka autorytatywna
Helena Głogowska,Biblioteka Narodowa - kartoteka autorytatywna
Þórarinn Eldjárn,Biblioteka Narodowa - kartoteka autorytatywna
Mateusz Koprowski,Biblioteka Narodowa - kartoteka autorytatywna
Tomasz Oczkowski,Biblioteka Narodowa - kartoteka autorytatywna
Adrienn Kocsis,Biblioteka Narodowa - kartoteka autorytatywna
Filip Krajník,Biblioteka Narodowa - kartoteka autorytatywna
István Miklós Balázs,Biblioteka Narodowa - kartoteka autorytatywna
C.E. van Amerongen-van Straten,Biblioteka Narodowa - kartoteka autorytatywna
I. Z. Ben-Arie,Biblioteka Narodowa - kartoteka autorytatywna
Justyna Nowakowska,Biblioteka Narodowa - kartoteka autorytatywna
John E. Tidball,Biblioteka Narodowa - kartoteka autorytatywna
