entity,source
Mihajlo Teodorovič Teležins'kij,Biblioteka Narodowa - kartoteka autorytatywna
Jiří Suchý,Biblioteka Narodowa - kartoteka autorytatywna
Anne d'Aubourg de la Bove Miremont,Biblioteka Narodowa - kartoteka autorytatywna
Julia Gjika,Biblioteka Narodowa - kartoteka autorytatywna
Kim Robert Stafford,Biblioteka Narodowa - kartoteka autorytatywna
Jane Gilmore Rushing,Biblioteka Narodowa - kartoteka autorytatywna
Tadeusz Grabowski,Biblioteka Narodowa - kartoteka autorytatywna
James Morgan Walsh,Biblioteka Narodowa - kartoteka autorytatywna
Gustav Freytag,Biblioteka Narodowa - kartoteka autorytatywna
Bartolommeo Bianchini,Biblioteka Narodowa - kartoteka autorytatywna
Aleksandr Aleksandrovič Šahovskoj,Biblioteka Narodowa - kartoteka autorytatywna
Józef Andrzej Załuski,Biblioteka Narodowa - kartoteka autorytatywna
Bruno Geneste,Biblioteka Narodowa - kartoteka autorytatywna
Walther Rathenau,Biblioteka Narodowa - kartoteka autorytatywna
Anna Paszkiewicz,Biblioteka Narodowa - kartoteka autorytatywna
Wasyl Machno,Biblioteka Narodowa - kartoteka autorytatywna
Katarína Lazarová,Biblioteka Narodowa - kartoteka autorytatywna
Marguerite Guzman Bouvard,Biblioteka Narodowa - kartoteka autorytatywna
Nikola Petrov Rusev,Biblioteka Narodowa - kartoteka autorytatywna
Enzo Bettiza,Biblioteka Narodowa - kartoteka autorytatywna
Florence Prémont,Biblioteka Narodowa - kartoteka autorytatywna
Nicolas Boukhrief,Biblioteka Narodowa - kartoteka autorytatywna
Eleonora Parnicka,Biblioteka Narodowa - kartoteka autorytatywna
Rachel Griffiths,Biblioteka Narodowa - kartoteka autorytatywna
Fabio Albergati,Biblioteka Narodowa - kartoteka autorytatywna
Hervé Sécher,Biblioteka Narodowa - kartoteka autorytatywna
Magdalena Jankowska,Biblioteka Narodowa - kartoteka autorytatywna
Piers Du Pré,Biblioteka Narodowa - kartoteka autorytatywna
Hilar Du Pré,Biblioteka Narodowa - kartoteka autorytatywna
Pedro Simón Martínez,Biblioteka Narodowa - kartoteka autorytatywna
Fatos Lubonja,Biblioteka Narodowa - kartoteka autorytatywna
Christopher Stymmelius,Biblioteka Narodowa - kartoteka autorytatywna
Hugleikur Dagsson,Biblioteka Narodowa - kartoteka autorytatywna
Miruna Runcan,Biblioteka Narodowa - kartoteka autorytatywna
Halina Krzysztoń,Biblioteka Narodowa - kartoteka autorytatywna
Theobald Kerner,Biblioteka Narodowa - kartoteka autorytatywna
Lûdmila Nikolaevna Sabinina,Biblioteka Narodowa - kartoteka autorytatywna
Diana E. H. Russell,Biblioteka Narodowa - kartoteka autorytatywna
Oleg Alekseevič Ždan,Biblioteka Narodowa - kartoteka autorytatywna
Nerin E. Gun,Biblioteka Narodowa - kartoteka autorytatywna
Albert Huerta,Biblioteka Narodowa - kartoteka autorytatywna
Lin Hallberg,Biblioteka Narodowa - kartoteka autorytatywna
Piotr Czerski,Biblioteka Narodowa - kartoteka autorytatywna
Melinda Salisbury,Biblioteka Narodowa - kartoteka autorytatywna
Stanisław Wyspiański,Biblioteka Narodowa - kartoteka autorytatywna
Janez Gradišnik,Biblioteka Narodowa - kartoteka autorytatywna
Olga Košutová,Biblioteka Narodowa - kartoteka autorytatywna
Gregory S. Dinallo,Biblioteka Narodowa - kartoteka autorytatywna
Ksenofont,Biblioteka Narodowa - kartoteka autorytatywna
Krista Bendová,Biblioteka Narodowa - kartoteka autorytatywna
W. B. Yeats,Biblioteka Narodowa - kartoteka autorytatywna
Marian Jedlecki,Biblioteka Narodowa - kartoteka autorytatywna
Franciszek Zabłocki,Biblioteka Narodowa - kartoteka autorytatywna
Marguerite Yourcenar,Biblioteka Narodowa - kartoteka autorytatywna
Adam Zagajewski,Biblioteka Narodowa - kartoteka autorytatywna
Dariusz Orszulewski,Biblioteka Narodowa - kartoteka autorytatywna
Piotr Zaczkowski,Biblioteka Narodowa - kartoteka autorytatywna
Camille Melloy,Biblioteka Narodowa - kartoteka autorytatywna
Zbigniew Niedźwiecki-Ravicz,Biblioteka Narodowa - kartoteka autorytatywna
Janina Ćwirko-Godycka,Biblioteka Narodowa - kartoteka autorytatywna
Jewgienij Zamiatin,Biblioteka Narodowa - kartoteka autorytatywna
Horacy,Biblioteka Narodowa - kartoteka autorytatywna
Jan Blecki,Biblioteka Narodowa - kartoteka autorytatywna
Melchior Wańkowicz,Biblioteka Narodowa - kartoteka autorytatywna
Gerard Manley Hopkins,Biblioteka Narodowa - kartoteka autorytatywna
Kim Holden,Biblioteka Narodowa - kartoteka autorytatywna
Homer,Biblioteka Narodowa - kartoteka autorytatywna
Adam Hollanek,Biblioteka Narodowa - kartoteka autorytatywna
Artur Glisczyński,Biblioteka Narodowa - kartoteka autorytatywna
Jan Maria Gisges,Biblioteka Narodowa - kartoteka autorytatywna
Mike Hoare,Biblioteka Narodowa - kartoteka autorytatywna
Maciej Szanciło,Biblioteka Narodowa - kartoteka autorytatywna
Volker Johannes Schmidt,Biblioteka Narodowa - kartoteka autorytatywna
Robert Woelfl,Biblioteka Narodowa - kartoteka autorytatywna
Sebastian Równy,Biblioteka Narodowa - kartoteka autorytatywna
Stefan Żeromski,Biblioteka Narodowa - kartoteka autorytatywna
Jean Puissant,Biblioteka Narodowa - kartoteka autorytatywna
Maria Ginter,Biblioteka Narodowa - kartoteka autorytatywna
Evgeniâ Semenovna Ginzburg,Biblioteka Narodowa - kartoteka autorytatywna
William Henry Hudson,Biblioteka Narodowa - kartoteka autorytatywna
Stanisław Adamczak,Biblioteka Narodowa - kartoteka autorytatywna
Jeremiasz Wojnowski,Biblioteka Narodowa - kartoteka autorytatywna
Carlos Murillo,Biblioteka Narodowa - kartoteka autorytatywna
Christa Wolf,Biblioteka Narodowa - kartoteka autorytatywna
Tom Wolfe,Biblioteka Narodowa - kartoteka autorytatywna
Izabella Wolikowska,Biblioteka Narodowa - kartoteka autorytatywna
Jan Wolkers,Biblioteka Narodowa - kartoteka autorytatywna
Maryla Wolska,Biblioteka Narodowa - kartoteka autorytatywna
Paul Bright,Biblioteka Narodowa - kartoteka autorytatywna
Wiktor Woroszylski,Leksykon literatury dla dzieci i młodzieży | Biblioteka Narodowa - kartoteka autorytatywna
Jacek Woźniakowski,Biblioteka Narodowa - kartoteka autorytatywna
Alexandra Wood,Biblioteka Narodowa - kartoteka autorytatywna
Mercia MacDermott,Biblioteka Narodowa - kartoteka autorytatywna
Jakub Wujek,Biblioteka Narodowa - kartoteka autorytatywna
Józef Wybicki,Biblioteka Narodowa - kartoteka autorytatywna
Nikolaj F. Prihod'ko,Biblioteka Narodowa - kartoteka autorytatywna
Kijong Li,Biblioteka Narodowa - kartoteka autorytatywna
Jurij Murawicki,Biblioteka Narodowa - kartoteka autorytatywna
Muḥammad Ḥilmī ar- Rīša,Biblioteka Narodowa - kartoteka autorytatywna
Rezo Gabriadze,Biblioteka Narodowa - kartoteka autorytatywna
Lûbomir Mladenov Kanov,Biblioteka Narodowa - kartoteka autorytatywna
Carlo Goldoni,Biblioteka Narodowa - kartoteka autorytatywna
Grzegorz z Nyssy,Biblioteka Narodowa - kartoteka autorytatywna
Alan Martin Boase,Biblioteka Narodowa - kartoteka autorytatywna
Samuel Richardson,Biblioteka Narodowa - kartoteka autorytatywna
Anna von Gottberg,Biblioteka Narodowa - kartoteka autorytatywna
Boris Pasternak,Biblioteka Narodowa - kartoteka autorytatywna
Piero Ciampi,Biblioteka Narodowa - kartoteka autorytatywna
Eric Drooker,Biblioteka Narodowa - kartoteka autorytatywna
Gaston Compère,Biblioteka Narodowa - kartoteka autorytatywna
Osip Mandelsztam,Biblioteka Narodowa - kartoteka autorytatywna
Stanìslav Mikolajovič Calik,Biblioteka Narodowa - kartoteka autorytatywna
Jean-Benjamin de La Borde,Biblioteka Narodowa - kartoteka autorytatywna
Dariusz Nierzwicki,Biblioteka Narodowa - kartoteka autorytatywna
Antoni Gronowicz,Biblioteka Narodowa - kartoteka autorytatywna
Iren Baumann,Biblioteka Narodowa - kartoteka autorytatywna
Oliver Goldsmith,Biblioteka Narodowa - kartoteka autorytatywna
Olfert Dapper,Biblioteka Narodowa - kartoteka autorytatywna
Peer Hultberg,Biblioteka Narodowa - kartoteka autorytatywna
Martin Salinas,Biblioteka Narodowa - kartoteka autorytatywna
Gonçalo Neves,Biblioteka Narodowa - kartoteka autorytatywna
Hugo Rodriguez,Biblioteka Narodowa - kartoteka autorytatywna
Johann Gottlieb Puhlmann,Biblioteka Narodowa - kartoteka autorytatywna
Kim Kwang-nim,Biblioteka Narodowa - kartoteka autorytatywna
Kwei-Armah. Kwame,Biblioteka Narodowa - kartoteka autorytatywna
Rosamunde Pilcher,Biblioteka Narodowa - kartoteka autorytatywna
Ross MacDonald,Biblioteka Narodowa - kartoteka autorytatywna
Roy Williams,Biblioteka Narodowa - kartoteka autorytatywna
Bryan Delaney,Biblioteka Narodowa - kartoteka autorytatywna
Anna Frankowska-Teter,Biblioteka Narodowa - kartoteka autorytatywna
Zenon Gierała,Biblioteka Narodowa - kartoteka autorytatywna
