term,variant,Lemma_1,Lemma_2,source,same_as:National_Library_of_Poland,same_as:Wikidata
adynata,,adynata,,Słownik Terminów Literackich (Głowiński),,
aequidicum,,aequidicum,,Słownik Terminów Literackich (Głowiński),,
afabularny,,afabularny,,Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
afektacja,,afektacja,,Słownik terminów literackich (Sierotwiński),,
afereza,,afereza,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje,,
affecitivum,,affecitivum,,Słownik terminów literackich (Sierotwiński),,
afiks,,afiks,,Słownik terminów literackich (Sierotwiński),,
afirmatywny gest dekonstrukcji,,afirmatywny gest dekonstrukcja,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
afisz,,afisz,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik pojęć i tekstów kultury,,
afodos,,afodos,,Słownik Terminów Literackich (Głowiński),,
aforystyczność,,aforystyczność,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
aforystyczny,,aforystyczny,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
aforyzm,,aforyzm,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Od teorii do literatury. Słownik literacki | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Od aforyzmu do zinu. Gatunki twórczości słownej | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis),http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810593926905606,http://www.wikidata.org/entity/Q109174024
agama,,agama,,Słownik Terminów Literackich (Głowiński),,
āgama,agama,āgama,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
agenda,,agenda,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
ağit,ahyt,ağit,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
agitacja,,agitacja,,Słownik Terminów Literackich (Głowiński),,
agitka,,agitka,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
agnostycyzm,,agnostycyzm,,"Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury",,
